Pais;Anio;Sector;Tamanio;Total_activos;Facturacion;Valor_bruto_agregado;Trabajadores;Solvencia;Apalancamiento;Liquidez;EBITDA_Ingresos_netos;Beneficio_econ_ingresos_netos;EBIT_Ingresos_netos;Rotacion_activos;Salarios_VA
FR;2017;G;2;110501823;229397749;29591812;478351;275,44;175,44;75,27;3,63;2,64;2,9;207,6;74,55
FR;2017;G;3;358150812;820927866;76932817;1198872;306,42;206,42;66,36;3,17;1,98;2,52;229,21;73,66
FR;2018;C;1;67258604;80345958;27846389;493840;224,2;124,2;70,55;7,5;4,07;4,83;119,46;80,17
FR;2018;C;2;100253824;118467650;32182353;499543;235,18;135,18;67,01;6,53;3,61;3,78;118,17;78,1
FR;2018;C;3;650994971;719690482;128374514;1315227;274,8;174,8;56,94;7,27;3,71;5,07;110,55;69,89
FR;2018;F;1;54754451;73793810;25395894;445000;262,48;162,48;75,59;6,68;4,1;5,27;134,77;82,98
FR;2018;F;2;39444734;40758694;10628493;167769;448,16;348,16;75,77;5,13;2,72;4,06;103,33;85,27
FR;2018;F;3;81575080;69665886;17186593;261170;559,77;459,77;72,75;5,32;2,64;5,06;85,4;90,79
FR;2018;G;1;111709453;186609590;36329780;612352;238,76;138,76;66,56;4,85;3,53;3,97;167,05;77,01
FR;2018;G;2;115512421;237598314;30816690;486301;277,06;177,06;75,86;3,76;2,66;3,09;205,69;74,33
FR;2018;G;3;375637021;866387307;78189321;1220099;326,83;226,83;68,06;3,05;1,83;2,2;230,64;74,01
FR;2019;C;1;63625008;74167189;25768787;450192;244,57;144,57;70,2;7,53;3,78;5,04;116,57;80,07
FR;2019;C;2;95734179;115827259;31676343;490036;234,47;134,47;67,42;6,74;3,52;3,68;120,99;77,5
FR;2019;C;3;653607370;724993896;130813077;1309546;269,24;169,24;56,1;7,78;3,73;5,2;110,92;68,91
FR;2019;F;1;52380612;70525816;24284688;409256;271,31;171,31;75,32;7,21;4,53;5,8;134,64;81,38
FR;2019;F;2;42044683;43876471;11395736;171652;425,42;325,42;75,89;6,09;3,44;4,72;104,36;82,52
FR;2019;F;3;81638633;74201196;18243273;270014;561,22;461,22;72,79;4,87;2,55;4,69;90,89;90,2
FR;2019;G;1;102122586;171646670;33466260;554171;235,44;135,44;66,32;4,99;3,65;4,13;168,08;76,22
FR;2019;G;2;110569880;225914365;29008478;456970;275,46;175,46;75,76;3,74;2,61;3,04;204,32;74,19
FR;2019;G;3;381994076;871479359;80939265;1203994;323,46;223,46;68,39;3,34;2,09;2,43;228,14;72,18
